screen_time_hours,work_screen_hours,leisure_screen_hours,sleep_hours,sleep_quality_1_5,stress_level_0_10,productivity_0_10,exercise_minutes_per_week,social_hours_per_week,mental_wellness_index_0_10,occupation_Desempregado,occupation_Empregado,occupation_Estudante,occupation_Reformado,work_mode_Hybrid,work_mode_In-person,work_mode_Remote,age_Jovem_16-25,age_Adulto_25-50,age_Senior_50-60
8.86,0.82,8.04,6.53,1,10.0,6.0,223,13.1,1.0,0,1,0,0,0,1,0,1,0,0
7.13,0.82,6.31,7.06,1,7.0,4.9,167,11.6,3.0,0,1,0,0,1,0,0,0,1,0
8.18,0.7,7.48,9.2,3,4.2,8.5,52,11.2,6.9,0,0,1,0,1,0,0,1,0,0
10.26,5.73,4.53,6.98,1,9.4,5.2,82,1.5,1.1,0,0,1,0,0,0,1,1,0,0
10.14,3.29,6.85,6.68,1,10.0,4.8,65,2.8,0.0,0,0,1,0,0,0,1,0,1,0
7.52,2.89,4.63,5.49,1,8.1,5.3,200,13.2,1.8,1,0,0,0,0,0,0,0,1,0
7.67,1.65,6.02,8.36,3,5.1,7.6,130,8.9,5.4,0,1,0,0,0,1,0,0,1,0
5.74,2.33,3.41,6.34,1,3.7,7.7,63,17.6,4.9,0,1,0,0,0,0,1,1,0,0
8.93,0.45,8.48,6.21,1,9.8,5.0,69,8.5,0.1,0,1,0,0,0,1,0,0,1,0
7.05,0.8,6.25,7.08,1,10.0,5.1,194,8.6,0.2,0,1,0,0,1,0,0,0,1,0
11.3,5.17,6.13,7.74,2,10.0,5.3,197,7.4,0.5,0,0,1,0,0,0,1,1,0,0
6.61,0.33,6.28,8.06,2,7.0,6.0,227,3.5,4.3,1,0,0,0,0,0,0,0,1,0
7.43,0.73,6.7,7.11,2,7.6,6.1,164,0.0,2.9,0,1,0,0,1,0,0,0,1,0
9.57,0.48,9.09,7.18,1,10.0,3.8,81,9.1,0.1,0,1,0,0,0,1,0,0,1,0
6.37,0.78,5.59,6.91,1,8.5,5.2,0,8.9,1.1,0,1,0,0,0,1,0,0,1,0
14.35,7.54,6.81,6.5,1,10.0,4.3,100,5.1,0.0,0,0,1,0,0,0,1,0,1,0
6.89,1.25,5.64,7.42,1,7.0,6.0,116,0.2,1.7,0,0,1,0,0,0,1,0,1,0
11.38,0.57,10.81,7.38,1,9.9,5.7,95,11.4,0.2,0,1,0,0,1,0,0,1,0,0
13.05,0.65,12.4,7.28,1,10.0,4.0,86,4.2,0.0,0,0,1,0,0,1,0,0,1,0
7.47,3.01,4.46,7.57,1,8.4,5.4,15,14.3,1.5,0,1,0,0,0,0,1,1,0,0
9.93,1.89,8.04,6.63,1,9.5,4.6,138,15.2,0.2,0,0,1,0,1,0,0,0,1,0
8.08,1.25,6.83,7.64,3,6.5,6.8,147,0.0,5.8,0,1,0,0,1,0,0,1,0,0
7.88,0.39,7.49,7.03,1,9.0,5.0,153,7.6,1.8,0,1,0,0,0,1,0,1,0,0
8.81,3.92,4.89,6.22,1,10.0,5.2,172,5.7,1.2,0,1,0,0,0,0,1,0,1,0
5.65,0.36,5.29,7.28,2,7.2,6.7,169,19.4,3.5,0,1,0,0,0,1,0,0,1,0
9.31,0.65,8.66,7.08,2,8.4,5.2,74,1.1,3.0,0,1,0,0,0,1,0,0,1,0
7.72,5.52,2.2,7.96,3,3.8,7.8,106,17.5,6.2,0,1,0,0,0,0,1,0,1,0
11.81,4.64,7.17,6.45,1,10.0,3.8,92,3.5,0.0,0,1,0,0,0,0,1,0,1,0
6.71,0.74,5.97,6.31,1,7.4,5.9,119,8.0,2.3,0,1,0,0,0,1,0,1,0,0
6.1,1.57,4.53,7.47,1,4.1,8.0,188,8.0,5.3,1,0,0,0,0,0,0,1,0,0
7.46,1.45,6.01,7.33,2,8.9,4.9,156,8.4,2.4,0,1,0,0,0,1,0,0,1,0
14.22,7.52,6.7,6.5,1,10.0,3.5,222,13.9,0.0,0,0,1,0,0,0,1,0,1,0
9.93,3.77,6.16,7.67,2,9.3,5.3,254,0.5,1.8,0,0,1,0,0,0,1,0,1,0
13.29,0.99,12.3,7.08,1,10.0,2.7,77,9.2,0.0,0,1,0,0,0,1,0,1,0,0
6.77,0.36,6.41,6.93,1,6.5,5.7,0,8.1,2.7,0,1,0,0,1,0,0,0,1,0
10.25,5.59,4.66,6.33,1,10.0,3.8,181,5.4,0.0,0,0,1,0,0,0,1,0,1,0
8.75,1.6,7.15,6.2,1,8.8,4.5,65,21.6,0.0,0,1,0,0,1,0,0,1,0,0
10.13,0.51,9.62,7.48,1,9.8,4.5,43,5.4,0.2,0,1,0,0,1,0,0,0,1,0
9.47,2.4,7.07,8.22,2,7.2,6.0,77,10.2,3.4,0,1,0,0,0,0,1,0,1,0
7.57,0.42,7.15,7.08,2,9.4,5.2,85,11.5,2.7,0,1,0,0,1,0,0,0,1,0
6.76,0.55,6.21,7.12,2,5.6,7.4,157,1.0,3.9,0,0,1,0,0,1,0,1,0,0
7.82,2.5,5.32,8.37,3,6.9,8.1,0,18.8,4.4,0,0,1,0,0,0,1,0,1,0
11.49,1.1,10.39,7.1,2,7.2,6.8,15,0.0,3.0,0,1,0,0,1,0,0,0,1,0
8.89,1.91,6.98,7.49,2,9.7,4.0,132,6.1,2.0,0,1,0,0,1,0,0,0,1,0
10.09,0.68,9.41,5.89,1,10.0,4.6,139,5.6,0.4,0,1,0,0,0,1,0,0,1,0
9.02,2.67,6.35,7.57,1,9.4,4.6,148,7.9,0.2,0,1,0,0,0,0,1,0,1,0
11.16,1.46,9.7,5.89,1,10.0,4.2,31,2.8,0.4,0,0,1,0,0,1,0,1,0,0
7.3,1.65,5.65,6.3,1,8.4,5.1,41,7.7,1.0,0,1,0,0,1,0,0,1,0,0
6.95,3.9,3.05,7.14,1,10.0,4.8,84,7.9,0.0,0,1,0,0,0,0,1,0,1,0
5.5,2.5,3.0,7.21,2,2.6,8.6,147,2.2,6.1,0,1,0,0,0,0,1,0,1,0
11.02,1.59,9.43,6.56,1,10.0,3.8,195,0.0,1.3,0,1,0,0,0,0,1,0,1,0
8.47,0.94,7.53,6.06,1,7.4,5.0,0,10.0,1.8,0,1,0,0,1,0,0,0,1,0
6.92,1.07,5.85,8.15,3,5.1,7.6,102,11.5,5.7,0,1,0,0,1,0,0,0,1,0
8.23,0.45,7.78,8.01,2,7.0,6.5,12,17.2,3.1,0,0,1,0,0,1,0,1,0,0
7.88,0.39,7.49,5.68,1,7.7,5.9,0,4.5,2.0,1,0,0,0,0,0,0,0,1,0
13.44,6.68,6.76,7.29,1,10.0,4.3,151,12.5,0.5,0,0,1,0,0,0,1,0,1,0
5.41,0.44,4.97,6.93,1,4.6,6.8,163,5.5,4.3,1,0,0,0,0,0,0,0,1,0
8.6,1.6,7.0,7.92,2,9.2,5.6,144,15.5,2.1,0,1,0,0,0,1,0,0,1,0
9.13,4.07,5.06,6.84,2,5.4,7.4,161,12.8,5.3,0,0,1,0,0,0,1,1,0,0
9.26,4.57,4.69,7.09,1,10.0,5.1,72,9.9,0.5,0,1,0,0,0,0,1,0,1,0
6.61,1.82,4.79,7.26,1,6.8,6.0,88,6.0,1.9,0,1,0,0,0,0,1,0,1,0
3.93,1.02,2.91,8.75,2,2.2,8.8,286,16.6,6.8,0,1,0,0,0,1,0,0,1,0
11.75,0.88,10.87,5.65,1,10.0,4.2,70,10.3,0.0,0,1,0,0,1,0,0,0,1,0
7.58,0.38,7.2,7.61,2,4.5,6.8,157,3.4,6.1,0,1,0,0,1,0,0,1,0,0
9.14,1.99,7.15,7.89,1,9.4,4.6,103,0.9,1.2,0,1,0,0,0,1,0,0,1,0
5.44,0.45,4.99,8.18,2,3.0,8.8,0,7.1,5.6,0,1,0,0,0,1,0,0,1,0
9.86,6.39,3.47,8.89,3,8.2,6.6,0,15.8,3.3,0,0,1,0,0,0,1,0,1,0
8.05,1.1,6.95,6.72,1,7.1,5.6,67,11.4,1.8,0,1,0,0,0,1,0,0,1,0
7.04,3.5,3.54,8.04,3,4.6,8.2,186,2.8,7.3,0,0,1,0,0,0,1,1,0,0
6.32,1.72,4.6,7.32,2,6.3,6.4,173,3.6,3.1,0,0,0,1,0,0,0,0,1,0
10.3,2.73,7.57,7.91,1,9.1,5.0,164,13.5,1.2,1,0,0,0,0,0,0,0,1,0
9.24,2.53,6.71,7.03,1,9.3,4.6,34,4.5,0.5,0,0,1,0,0,0,1,0,1,0
8.29,1.0,7.29,6.8,1,6.4,5.8,219,12.0,3.4,0,1,0,0,1,0,0,0,1,0
5.52,0.92,4.6,8.66,2,6.2,6.9,59,5.9,3.8,1,0,0,0,0,0,0,0,1,0
9.13,2.42,6.71,6.64,1,10.0,4.4,118,16.1,0.0,0,0,1,0,0,0,1,0,1,0
9.81,2.46,7.35,5.87,1,10.0,4.1,102,4.0,0.0,0,1,0,0,0,0,1,0,1,0
7.75,0.96,6.79,6.76,1,8.3,5.7,96,14.6,1.1,1,0,0,0,0,0,0,1,0,0
7.05,0.62,6.43,7.81,1,8.8,5.0,208,5.7,1.4,0,0,1,0,0,1,0,0,1,0
7.83,0.87,6.96,8.3,3,3.2,9.5,60,8.7,8.1,0,1,0,0,1,0,0,0,1,0
10.17,1.01,9.16,6.84,1,10.0,5.2,0,0.0,0.0,0,1,0,0,1,0,0,1,0,0
7.94,2.93,5.01,8.28,2,8.3,5.4,113,0.0,1.9,1,0,0,0,0,0,0,0,1,0
9.58,3.64,5.94,5.9,1,8.9,4.8,74,6.1,0.6,0,0,0,1,0,0,0,0,1,0
3.69,0.67,3.02,7.49,1,6.8,6.1,372,10.6,3.0,1,0,0,0,0,0,0,0,1,0
7.58,0.38,7.2,7.01,1,7.7,5.4,159,4.3,2.4,0,1,0,0,0,1,0,0,1,0
9.82,5.22,4.6,6.72,1,9.2,5.8,64,2.7,1.1,0,1,0,0,0,0,1,1,0,0
8.53,0.43,8.1,7.15,1,9.5,4.5,31,8.3,0.7,0,1,0,0,0,1,0,0,1,0
7.32,0.61,6.71,7.82,2,5.1,7.5,0,10.9,4.1,0,1,0,0,1,0,0,0,1,0
4.3,0.48,3.82,7.33,1,7.0,6.7,57,8.1,2.7,0,1,0,0,0,1,0,1,0,0
12.51,6.79,5.72,6.61,1,10.0,3.3,90,6.6,0.3,0,0,1,0,0,0,1,0,1,0
4.89,0.62,4.27,7.66,1,4.3,6.8,230,2.0,4.0,0,1,0,0,1,0,0,0,1,0
11.1,4.95,6.15,6.14,1,9.5,3.6,177,4.6,0.9,0,0,1,0,0,0,1,0,1,0
10.84,0.58,10.26,6.69,1,10.0,3.6,109,14.9,0.0,0,0,1,0,1,0,0,0,1,0
13.9,5.84,8.06,6.22,2,10.0,2.6,53,3.0,0.9,0,0,1,0,0,0,1,0,1,0
12.05,2.66,9.39,6.45,1,9.6,4.5,104,9.3,0.4,0,1,0,0,0,0,1,0,1,0
6.34,0.35,5.99,7.33,2,5.0,8.7,77,20.0,5.5,0,1,0,0,1,0,0,1,0,0
11.04,0.85,10.19,6.79,1,10.0,4.2,212,0.0,0.5,0,1,0,0,0,1,0,0,1,0
11.19,5.16,6.03,6.38,1,9.2,3.6,78,11.5,0.2,0,0,1,0,0,0,1,0,1,0
10.05,0.5,9.55,8.1,2,7.1,5.7,101,13.9,3.2,0,1,0,0,1,0,0,0,1,0
11.94,0.6,11.34,5.65,1,10.0,3.7,0,5.7,0.1,0,1,0,0,0,1,0,0,1,0
7.8,4.17,3.63,6.67,1,6.9,5.3,99,11.6,1.4,0,1,0,0,0,0,1,0,1,0
11.23,2.25,8.98,8.93,2,9.3,5.5,149,0.0,2.9,0,1,0,0,1,0,0,0,1,0
8.7,1.4,7.3,6.16,1,8.4,5.6,26,5.4,0.3,0,1,0,0,1,0,0,1,0,0
1.0,0.11,0.89,7.26,3,0.0,10.0,104,15.7,8.7,0,1,0,0,0,1,0,0,1,0
10.12,4.82,5.3,7.53,1,10.0,4.7,156,12.6,0.5,0,1,0,0,0,0,1,0,1,0
10.04,2.11,7.93,5.29,1,10.0,5.2,0,14.6,0.6,0,0,1,0,1,0,0,0,1,0
6.42,0.32,6.1,7.17,1,6.7,7.3,190,15.4,4.3,0,0,1,0,0,1,0,1,0,0
9.58,2.08,7.5,8.79,2,6.6,8.0,69,3.8,3.0,0,1,0,0,0,1,0,0,1,0
7.77,1.17,6.6,5.88,1,10.0,4.1,78,17.0,0.0,0,0,1,0,1,0,0,1,0,0
7.85,1.44,6.41,5.68,1,8.1,7.1,34,10.5,0.9,0,1,0,0,1,0,0,0,1,0
6.0,0.3,5.7,6.47,1,9.4,4.9,157,16.4,1.0,0,1,0,0,1,0,0,0,1,0
9.23,0.73,8.5,7.65,2,4.8,6.7,271,7.9,5.2,1,0,0,0,0,0,0,1,0,0
11.27,1.99,9.28,7.56,3,8.9,6.0,143,6.6,4.1,0,1,0,0,1,0,0,0,1,0
9.05,5.35,3.7,6.63,1,10.0,4.1,43,7.6,0.1,0,0,0,1,0,0,0,0,1,0
8.07,0.75,7.32,7.69,1,7.9,5.7,187,0.0,2.7,0,1,0,0,0,1,0,0,1,0
5.52,1.16,4.36,8.55,3,3.7,7.9,96,3.2,6.8,0,1,0,0,1,0,0,1,0,0
10.27,0.96,9.31,8.29,3,8.3,6.0,193,10.8,3.4,0,1,0,0,1,0,0,0,1,0
9.59,4.62,4.97,6.67,1,8.8,5.6,152,0.0,0.6,0,1,0,0,0,0,1,1,0,0
12.19,2.56,9.63,4.76,1,10.0,3.9,0,11.1,0.0,0,1,0,0,1,0,0,0,1,0
6.09,3.86,2.23,6.75,1,6.4,6.4,47,15.9,1.9,0,1,0,0,0,0,1,1,0,0
5.87,0.31,5.56,7.3,1,5.8,6.9,195,9.7,4.4,0,0,0,1,0,0,0,0,1,0
9.65,3.25,6.4,6.68,1,10.0,5.0,107,5.8,0.5,0,1,0,0,0,0,1,1,0,0
9.13,1.44,7.69,6.85,1,10.0,3.4,30,18.4,0.4,0,1,0,0,1,0,0,0,1,0
5.07,1.21,3.86,8.59,2,5.2,7.9,86,19.1,4.6,0,1,0,0,0,1,0,0,1,0
8.14,1.22,6.92,8.1,2,8.5,5.6,0,7.5,2.2,0,1,0,0,0,0,1,1,0,0
11.85,1.91,9.94,6.5,1,10.0,4.1,81,10.4,0.2,0,0,1,0,0,1,0,0,1,0
10.39,1.58,8.81,7.82,3,6.8,7.4,255,7.4,5.0,0,0,1,0,0,0,1,0,1,0
3.76,0.78,2.98,7.99,2,2.9,8.0,185,10.0,6.0,0,1,0,0,0,1,0,1,0,0
5.9,0.34,5.56,7.58,2,5.5,6.7,276,10.8,4.9,0,1,0,0,0,1,0,0,1,0
8.76,1.86,6.9,7.83,2,6.2,5.4,168,10.0,3.0,0,1,0,0,1,0,0,0,1,0
12.18,1.91,10.27,6.69,1,10.0,3.6,160,11.2,0.0,0,0,1,0,1,0,0,0,1,0
6.31,0.54,5.77,9.0,4,2.7,10.0,253,17.9,9.7,0,0,1,0,0,1,0,1,0,0
8.7,4.17,4.53,5.83,1,10.0,4.4,127,0.0,0.8,0,0,1,0,0,0,1,1,0,0
7.18,1.47,5.71,6.95,1,3.6,6.5,104,8.0,4.4,0,0,0,1,0,0,0,0,1,0
9.11,0.93,8.18,6.95,1,9.0,4.5,177,0.7,2.0,0,1,0,0,1,0,0,0,1,0
7.47,0.37,7.1,7.65,1,10.0,3.8,216,15.5,0.2,0,1,0,0,0,1,0,0,1,0
8.97,1.93,7.04,8.09,2,8.2,5.1,72,6.7,3.0,0,1,0,0,0,1,0,0,1,0
7.98,0.7,7.28,7.12,1,9.5,5.0,57,2.3,0.8,0,0,1,0,0,1,0,1,0,0
7.22,1.48,5.74,6.19,1,7.9,4.8,125,14.3,1.0,1,0,0,0,0,0,0,0,1,0
7.16,1.04,6.12,8.02,2,5.5,7.8,174,15.1,6.0,0,1,0,0,0,1,0,0,1,0
16.29,5.9,10.39,6.5,1,10.0,3.3,113,7.3,0.5,0,0,1,0,0,0,1,1,0,0
9.52,0.48,9.04,5.56,1,9.9,4.5,8,9.9,0.1,0,1,0,0,1,0,0,0,1,0
12.39,3.06,9.33,6.57,1,10.0,3.8,219,9.2,0.8,0,1,0,0,0,0,1,0,1,0
8.8,4.08,4.72,5.71,1,7.8,5.8,55,17.8,1.6,1,0,0,0,0,0,0,1,0,0
8.99,0.51,8.48,6.57,1,8.4,5.6,88,4.1,2.0,0,1,0,0,1,0,0,0,1,0
9.69,1.16,8.53,6.14,1,10.0,4.6,33,10.5,0.0,0,1,0,0,1,0,0,1,0,0
9.75,0.49,9.26,7.64,2,10.0,5.3,291,6.1,1.3,0,0,1,0,1,0,0,0,1,0
12.67,6.76,5.91,6.68,2,10.0,4.4,103,2.4,1.7,0,0,0,1,0,0,0,0,1,0
12.06,6.27,5.79,5.49,1,10.0,4.3,23,4.1,0.0,0,0,1,0,0,0,1,1,0,0
7.64,3.89,3.75,8.03,2,5.1,7.0,176,13.7,4.9,1,0,0,0,0,0,0,0,1,0
10.26,1.07,9.19,5.74,1,10.0,4.3,152,11.8,0.0,0,1,0,0,1,0,0,0,1,0
5.57,1.06,4.51,7.89,3,6.7,7.3,114,15.4,5.8,0,1,0,0,0,0,1,0,1,0
8.32,2.99,5.33,6.65,1,8.3,5.0,174,10.1,2.3,0,1,0,0,0,0,1,0,1,0
10.63,1.09,9.54,6.49,1,6.9,5.0,35,9.4,1.8,0,0,1,0,1,0,0,0,1,0
11.09,1.18,9.91,7.07,1,10.0,4.4,53,5.5,0.0,0,0,1,0,1,0,0,1,0,0
6.55,0.33,6.22,7.75,1,8.7,6.1,0,2.6,2.0,0,0,1,0,1,0,0,1,0,0
10.33,4.76,5.57,7.85,1,7.9,5.8,0,5.2,2.8,0,0,1,0,0,0,1,1,0,0
9.98,1.34,8.64,6.83,1,10.0,3.6,224,10.0,0.8,0,1,0,0,1,0,0,0,1,0
7.99,0.4,7.59,7.47,1,9.1,5.7,226,9.6,2.9,0,1,0,0,0,1,0,0,1,0
11.22,3.89,7.33,6.39,1,10.0,3.9,96,7.2,0.0,0,0,1,0,0,0,1,0,1,0
4.1,0.21,3.89,7.99,1,4.1,7.9,253,7.8,4.5,1,0,0,0,0,0,0,0,1,0
10.48,5.65,4.83,7.18,1,10.0,3.7,84,23.9,0.0,0,1,0,0,0,0,1,0,1,0
8.57,1.57,7.0,7.15,1,8.3,5.3,95,10.7,1.7,1,0,0,0,0,0,0,0,1,0
8.16,2.48,5.68,5.7,1,6.3,6.2,111,11.1,3.0,0,0,0,1,0,0,0,0,1,0
16.36,3.01,13.35,6.42,1,10.0,2.5,62,5.5,0.0,0,0,1,0,0,0,1,0,0,1
4.56,0.57,3.99,8.06,2,6.3,7.6,118,9.6,4.7,0,1,0,0,1,0,0,0,1,0
9.88,1.74,8.14,6.3,1,10.0,5.1,175,10.6,1.5,0,1,0,0,1,0,0,1,0,0
7.35,0.94,6.41,6.18,1,8.0,5.4,120,10.2,0.8,0,1,0,0,1,0,0,1,0,0
6.92,0.5,6.42,8.57,2,5.7,7.9,168,0.0,4.4,0,0,1,0,0,1,0,0,1,0
7.05,0.35,6.7,7.72,1,6.8,5.9,187,0.0,3.2,0,1,0,0,0,1,0,0,1,0
12.92,2.51,10.41,6.33,1,10.0,4.4,110,1.8,0.0,0,0,1,0,1,0,0,0,1,0
11.06,2.88,8.18,5.86,1,10.0,2.8,25,7.4,0.0,0,0,1,0,0,1,0,0,1,0
10.75,6.43,4.32,6.12,1,7.4,6.7,0,7.8,2.9,0,1,0,0,0,0,1,0,1,0
12.27,6.71,5.56,7.53,1,10.0,4.9,91,12.5,0.0,0,1,0,0,0,0,1,1,0,0
13.51,2.03,11.48,6.35,1,10.0,3.6,58,0.0,0.0,0,1,0,0,0,0,1,1,0,0
10.19,0.84,9.35,6.39,1,10.0,3.1,101,3.4,0.0,0,0,1,0,1,0,0,0,1,0
7.02,0.71,6.31,7.81,2,6.4,7.0,118,15.6,3.6,0,1,0,0,0,1,0,0,1,0
7.34,2.24,5.1,6.66,1,9.1,4.2,295,9.4,1.6,0,1,0,0,0,0,1,0,1,0
10.4,0.54,9.86,7.94,1,10.0,4.5,0,10.7,0.0,0,0,1,0,0,1,0,1,0,0
10.82,4.01,6.81,7.87,2,10.0,5.0,0,16.3,1.9,0,1,0,0,0,0,1,0,1,0
5.85,0.58,5.27,7.18,1,7.4,5.4,148,2.0,2.0,1,0,0,0,0,0,0,0,1,0
10.95,2.64,8.31,6.17,1,10.0,4.8,62,5.8,0.8,0,1,0,0,0,0,1,1,0,0
8.08,3.75,4.33,5.1,1,7.0,6.3,132,5.6,3.1,0,1,0,0,0,0,1,0,1,0
11.65,0.58,11.07,5.47,1,10.0,4.6,129,0.0,0.1,0,1,0,0,1,0,0,0,1,0
8.93,1.62,7.31,5.89,1,10.0,4.5,189,6.9,0.0,0,1,0,0,1,0,0,1,0,0
11.79,7.06,4.73,6.76,1,10.0,3.2,0,12.2,0.0,0,0,1,0,0,0,1,0,1,0
6.09,0.59,5.5,7.27,2,8.5,6.7,84,11.9,2.8,0,1,0,0,1,0,0,0,1,0
8.64,1.15,7.49,6.11,1,6.6,5.7,140,12.8,2.9,0,1,0,0,0,1,0,0,1,0
7.71,0.87,6.84,7.1,1,6.4,5.2,170,7.4,2.5,0,1,0,0,1,0,0,0,1,0
10.68,0.88,9.8,7.08,1,10.0,5.0,241,3.1,0.6,0,1,0,0,1,0,0,1,0,0
8.73,0.65,8.08,7.43,1,9.4,6.0,169,13.1,2.6,0,1,0,0,1,0,0,1,0,0
7.3,0.72,6.58,5.83,1,9.8,4.8,112,6.4,0.0,0,0,1,0,1,0,0,0,1,0
10.89,7.48,3.41,6.7,1,10.0,5.5,32,9.5,1.0,0,0,1,0,0,0,1,0,1,0
11.14,1.56,9.58,5.66,1,9.6,4.3,54,10.4,0.0,0,1,0,0,1,0,0,0,1,0
12.56,2.93,9.63,7.54,1,10.0,3.7,56,15.9,0.0,0,0,1,0,0,0,1,0,0,1
11.96,6.74,5.22,7.27,1,9.3,3.9,134,10.2,0.3,0,1,0,0,0,0,1,0,1,0
11.15,0.56,10.59,6.1,1,9.2,5.4,114,0.1,0.6,0,1,0,0,1,0,0,0,1,0
5.28,3.59,1.69,7.07,2,6.5,6.5,37,4.5,3.9,0,1,0,0,0,0,1,0,1,0
7.32,1.08,6.24,6.98,1,9.2,5.5,86,13.3,1.9,0,1,0,0,1,0,0,0,1,0
9.39,0.47,8.92,5.16,1,10.0,4.1,162,9.0,0.6,0,1,0,0,1,0,0,0,1,0
11.12,4.7,6.42,7.06,1,8.3,4.5,119,4.3,1.3,0,1,0,0,0,0,1,0,1,0
3.49,0.52,2.97,7.59,3,1.9,10.0,173,12.4,7.8,0,1,0,0,1,0,0,1,0,0
15.38,2.09,13.29,6.85,1,10.0,3.3,92,4.0,0.1,0,1,0,0,1,0,0,0,1,0
11.64,0.68,10.96,5.74,1,10.0,3.8,200,7.4,1.6,0,1,0,0,0,1,0,0,1,0
9.13,0.98,8.15,6.54,1,8.4,5.8,120,12.1,1.4,0,1,0,0,1,0,0,0,1,0
7.48,0.48,7.0,6.25,1,6.4,7.1,95,4.1,2.9,0,1,0,0,0,1,0,0,1,0
10.03,1.22,8.81,5.95,1,10.0,4.7,27,15.1,0.0,0,1,0,0,1,0,0,1,0,0
5.5,1.97,3.53,6.68,1,5.4,6.4,145,6.3,3.2,0,1,0,0,0,0,1,0,1,0
9.53,2.23,7.3,7.64,2,10.0,4.7,0,8.4,0.0,0,1,0,0,1,0,0,1,0,0
8.16,0.92,7.24,6.58,1,7.4,5.7,94,17.3,2.3,0,1,0,0,0,1,0,0,1,0
9.32,0.8,8.52,7.18,1,7.4,5.6,92,0.0,1.6,0,1,0,0,1,0,0,0,1,0
7.42,1.06,6.36,6.98,2,3.5,7.3,18,9.0,4.3,0,1,0,0,0,1,0,0,1,0
8.06,1.85,6.21,6.09,1,8.4,5.7,40,12.6,1.9,0,1,0,0,0,1,0,1,0,0
9.51,2.33,7.18,6.78,1,8.8,4.9,155,11.1,0.6,0,1,0,0,0,0,1,1,0,0
11.85,6.4,5.45,7.15,1,9.3,3.3,106,4.7,0.0,0,1,0,0,0,0,1,0,1,0
10.64,1.25,9.39,5.78,1,10.0,3.6,98,3.1,0.9,0,0,1,0,1,0,0,1,0,0
7.51,0.73,6.78,7.93,2,7.8,5.8,135,12.2,2.0,0,1,0,0,1,0,0,0,1,0
6.2,0.31,5.89,6.79,1,6.9,6.1,127,14.2,1.6,0,1,0,0,0,1,0,0,1,0
7.26,0.96,6.3,6.86,1,9.9,5.9,198,3.1,1.3,0,0,1,0,0,1,0,1,0,0
10.23,3.11,7.12,7.46,1,10.0,4.4,114,0.7,1.0,0,1,0,0,0,0,1,0,1,0
10.18,5.4,4.78,6.39,1,8.9,4.2,0,8.1,0.0,0,0,1,0,0,0,1,0,1,0
8.98,1.47,7.51,6.94,1,7.6,5.6,211,7.3,2.5,0,1,0,0,0,1,0,1,0,0
10.39,0.96,9.43,6.6,2,10.0,4.6,122,6.3,1.6,0,1,0,0,1,0,0,0,1,0
8.71,0.48,8.23,7.14,1,9.6,4.8,61,10.9,0.0,0,0,1,0,0,1,0,1,0,0
9.04,0.45,8.59,5.2,1,9.5,5.0,19,7.3,1.0,0,1,0,0,1,0,0,0,1,0
7.05,1.19,5.86,5.81,1,6.4,6.9,140,0.0,3.7,0,1,0,0,1,0,0,1,0,0
7.76,2.5,5.26,7.72,2,7.9,6.1,103,2.4,2.6,0,1,0,0,0,0,1,0,1,0
6.86,0.72,6.14,8.24,2,5.2,8.3,229,10.0,6.1,0,0,1,0,1,0,0,0,1,0
